year,month,period,tendays,Q_cms,era
2012,5,early,13,8.09,Current
2013,5,early,13,5.72,Current
2014,5,early,13,11.49,Current
2015,5,early,13,6.58,Current
2016,5,early,13,5.27,Current
2017,5,early,13,5.46,Current
2018,5,early,13,8.38,Current
2019,5,early,13,7.56,Current
1959,5,mid,14,5,EIA
1960,5,mid,14,22.66,EIA
1961,5,mid,14,16.37,EIA
1962,5,mid,14,6.97,EIA
1963,5,mid,14,5.24,EIA
1964,5,mid,14,3.87,EIA
1965,5,mid,14,11.23,EIA
1966,5,mid,14,14.13,EIA
1967,5,mid,14,11.58,EIA
1968,5,mid,14,10.63,EIA
1969,5,mid,14,7.32,EIA
1970,5,mid,14,5.36,EIA
1971,5,mid,14,6.75,EIA
1972,5,mid,14,13.39,EIA
1973,5,mid,14,11.64,EIA
1974,5,mid,14,4.39,EIA
1975,5,mid,14,7.48,EIA
1976,5,mid,14,9.68,EIA
1977,5,mid,14,16.36,EIA
1978,5,mid,14,8.49,EIA
1979,5,mid,14,10.28,EIA
1980,5,mid,14,7.49,EIA
1981,5,mid,14,20.02,EIA
1982,5,mid,14,7.36,EIA
1983,5,mid,14,6.51,EIA
1984,5,mid,14,5,EIA
1985,5,mid,14,8.4,EIA
1986,5,mid,14,10.93,EIA
1987,5,mid,14,19.01,EIA
1988,5,mid,14,6.06,EIA
1989,5,mid,14,5.08,EIA
1990,5,mid,14,11.72,EIA
1991,5,mid,14,16.78,EIA
1992,5,mid,14,5.77,EIA
1993,5,mid,14,8.21,EIA
1994,5,mid,14,9.7,EIA
1995,5,mid,14,5.44,EIA
1996,5,mid,14,8.16,EIA_Difference
1997,5,mid,14,9.27,EIA_Difference
1998,5,mid,14,7.38,EIA_Difference
1999,5,mid,14,15.26,EIA_Difference
2000,5,mid,14,9.06,EIA_Difference
2001,5,mid,14,7.9,EIA_Difference
2002,5,mid,14,34.93,EIA_Difference
2003,5,mid,14,7.67,EIA_Difference
2004,5,mid,14,10.85,EIA_Difference
2005,5,mid,14,11.4,EIA_Difference
2006,5,mid,14,26.5,Current
2007,5,mid,14,5.54,Current
2008,5,mid,14,7.53,Current
2009,5,mid,14,3.2,Current
2010,5,mid,14,5.6,Current
2011,5,mid,14,7.68,Current
2012,5,mid,14,8.28,Current
2013,5,mid,14,7.27,Current
2014,5,mid,14,9.36,Current
2015,5,mid,14,6.55,Current
2016,5,mid,14,7.5,Current
2017,5,mid,14,7.62,Current
2018,5,mid,14,7.38,Current
2019,5,mid,14,7.98,Current
1959,5,late,15,15.98,EIA
1960,5,late,15,13.29,EIA
1961,5,late,15,88.53,EIA
1962,5,late,15,5.74,EIA
1963,5,late,15,3.86,EIA
1964,5,late,15,18.38,EIA
1965,5,late,15,13.84,EIA
1966,5,late,15,21.4,EIA
1967,5,late,15,13.89,EIA
1968,5,late,15,8.49,EIA
1969,5,late,15,4.9,EIA
1970,5,late,15,7.36,EIA
1971,5,late,15,15.82,EIA
1972,5,late,15,20.08,EIA
1973,5,late,15,4.53,EIA
1974,5,late,15,7.24,EIA
1975,5,late,15,12.4,EIA
1976,5,late,15,35.18,EIA
1977,5,late,15,14.69,EIA
1978,5,late,15,22.69,EIA
1979,5,late,15,12.51,EIA
1980,5,late,15,12.16,EIA
1981,5,late,15,7.19,EIA
1982,5,late,15,5.92,EIA
1983,5,late,15,14.58,EIA
1984,5,late,15,12.55,EIA
1985,5,late,15,12.98,EIA
1986,5,late,15,26.67,EIA
1987,5,late,15,7.49,EIA
1988,5,late,15,6.51,EIA
1989,5,late,15,11.71,EIA
1990,5,late,15,24.42,EIA
1991,5,late,15,4.17,EIA
1992,5,late,15,8.29,EIA
1993,5,late,15,11.03,EIA
1994,5,late,15,6.55,EIA
1995,5,late,15,7.13,EIA
1996,5,late,15,11.88,EIA_Difference
1997,5,late,15,7.61,EIA_Difference
1998,5,late,15,18.75,EIA_Difference
1999,5,late,15,9.22,EIA_Difference
2000,5,late,15,9.25,EIA_Difference
2001,5,late,15,17.44,EIA_Difference
2002,5,late,15,7.39,EIA_Difference
2003,5,late,15,6.49,EIA_Difference
2004,5,late,15,10.94,EIA_Difference
2005,5,late,15,13.46,EIA_Difference
2006,5,late,15,18.13,Current
2007,5,late,15,7.68,Current
2008,5,late,15,8.65,Current
2009,5,late,15,4.22,Current
2010,5,late,15,4.98,Current
2011,5,late,15,10.79,Current
2012,5,late,15,14.49,Current
2013,5,late,15,8.9,Current
2014,5,late,15,8.5,Current
2015,5,late,15,25.71,Current
2016,5,late,15,8.75,Current
2017,5,late,15,15.2,Current
2018,5,late,15,8.75,Current
2019,5,late,15,10.08,Current
1959,6,early,16,14.83,EIA
1960,6,early,16,35.58,EIA
1961,6,early,16,26.93,EIA
1962,6,early,16,7.88,EIA
1963,6,early,16,3.87,EIA
1964,6,early,16,21.22,EIA
1965,6,early,16,13.16,EIA
1966,6,early,16,25.75,EIA
1967,6,early,16,26.81,EIA
1968,6,early,16,17.48,EIA
1969,6,early,16,7.82,EIA
1970,6,early,16,13.15,EIA
1971,6,early,16,12.5,EIA
1972,6,early,16,27.42,EIA
1973,6,early,16,7.62,EIA
1974,6,early,16,18.03,EIA
1975,6,early,16,10.15,EIA
1976,6,early,16,15.31,EIA
1977,6,early,16,13.25,EIA
1978,6,early,16,44.41,EIA
1979,6,early,16,12,EIA
1980,6,early,16,13.08,EIA
1981,6,early,16,9.79,EIA
1982,6,early,16,7.1,EIA
1983,6,early,16,19.78,EIA
1984,6,early,16,15.75,EIA
1985,6,early,16,20.65,EIA
1986,6,early,16,26.66,EIA
1987,6,early,16,9.26,EIA
1988,6,early,16,67.62,EIA
1989,6,early,16,21.18,EIA
1990,6,early,16,28.12,EIA
1991,6,early,16,3.66,EIA
1992,6,early,16,8.97,EIA
1993,6,early,16,10,EIA
1994,6,early,16,13.01,EIA
1995,6,early,16,15.65,EIA
1996,6,early,16,9.25,EIA_Difference
1997,6,early,16,13.07,EIA_Difference
1998,6,early,16,32.22,EIA_Difference
1999,6,early,16,139.33,EIA_Difference
2000,6,early,16,9.04,EIA_Difference
2001,6,early,16,22.68,EIA_Difference
2002,6,early,16,22.03,EIA_Difference
2003,6,early,16,6.08,EIA_Difference
2004,6,early,16,15.67,EIA_Difference
2005,6,early,16,10.79,EIA_Difference
2006,6,early,16,22.85,Current
2007,6,early,16,10.85,Current
2008,6,early,16,19.95,Current
2009,6,early,16,4.55,Current
2010,6,early,16,4.97,Current
2011,6,early,16,14.26,Current
2012,6,early,16,24.5,Current
2013,6,early,16,6.58,Current
2014,6,early,16,13.05,Current
2015,6,early,16,12.82,Current
2016,6,early,16,6.51,Current
2017,6,early,16,15.21,Current
2018,6,early,16,15.59,Current
2019,6,early,16,10.78,Current
1959,6,mid,17,6,EIA
1960,6,mid,17,9.74,EIA
1961,6,mid,17,33.14,EIA
1962,6,mid,17,12.97,EIA
1963,6,mid,17,18.35,EIA
1964,6,mid,17,4.22,EIA
1965,6,mid,17,17.94,EIA
1966,6,mid,17,31.34,EIA
1967,6,mid,17,27.69,EIA
1968,6,mid,17,17.98,EIA
1969,6,mid,17,23.5,EIA
1970,6,mid,17,19.06,EIA
1971,6,mid,17,24.51,EIA
1972,6,mid,17,10.51,EIA
1973,6,mid,17,22.99,EIA
1974,6,mid,17,13.37,EIA
1975,6,mid,17,23.01,EIA
1976,6,mid,17,16.24,EIA
1977,6,mid,17,12.22,EIA
1978,6,mid,17,11.82,EIA
1979,6,mid,17,20.35,EIA
1980,6,mid,17,14.08,EIA
1981,6,mid,17,12.81,EIA
1982,6,mid,17,102.56,EIA
1983,6,mid,17,6.8,EIA
1984,6,mid,17,6,EIA
1985,6,mid,17,18.75,EIA
1986,6,mid,17,43.29,EIA
1987,6,mid,17,24.37,EIA
1988,6,mid,17,19.32,EIA
1989,6,mid,17,10.45,EIA
1990,6,mid,17,16.45,EIA
1991,6,mid,17,13.94,EIA
1992,6,mid,17,3.72,EIA
1993,6,mid,17,6.66,EIA
1994,6,mid,17,9.12,EIA
1995,6,mid,17,6.72,EIA
1996,6,mid,17,25.12,EIA_Difference
1997,6,mid,17,8.35,EIA_Difference
1998,6,mid,17,17.04,EIA_Difference
1999,6,mid,17,22,EIA_Difference
2000,6,mid,17,35.64,EIA_Difference
2001,6,mid,17,12.07,EIA_Difference
2002,6,mid,17,24.19,EIA_Difference
2003,6,mid,17,12.97,EIA_Difference
2004,6,mid,17,5.41,EIA_Difference
2005,6,mid,17,22.39,EIA_Difference
2006,6,mid,17,63.04,Current
2007,6,mid,17,10.02,Current
2008,6,mid,17,14.61,Current
2009,6,mid,17,6.14,Current
2010,6,mid,17,5,Current
2011,6,mid,17,9.7,Current
2012,6,mid,17,47.2,Current
2013,6,mid,17,24.86,Current
2014,6,mid,17,21.92,Current
2015,6,mid,17,5.64,Current
2016,6,mid,17,8.2,Current
2017,6,mid,17,22.77,Current
2018,6,mid,17,15.85,Current
2019,6,mid,17,13.49,Current
1959,6,late,18,8.62,EIA
1960,6,late,18,13.55,EIA
1961,6,late,18,10.74,EIA
1962,6,late,18,10.33,EIA
1963,6,late,18,8.6,EIA
1964,6,late,18,11.36,EIA
1965,6,late,18,33.49,EIA
1966,6,late,18,14.83,EIA
1967,6,late,18,10.39,EIA
1968,6,late,18,12.19,EIA
1969,6,late,18,15.49,EIA
1970,6,late,18,14.54,EIA
1971,6,late,18,9.55,EIA
1972,6,late,18,14.43,EIA
1973,6,late,18,9.54,EIA
1974,6,late,18,16,EIA
1975,6,late,18,12.73,EIA
1976,6,late,18,51.47,EIA
1977,6,late,18,9.4,EIA
1978,6,late,18,25.08,EIA
1979,6,late,18,13.74,EIA
1980,6,late,18,7.26,EIA
1981,6,late,18,46.17,EIA
1982,6,late,18,6.73,EIA
1983,6,late,18,14.91,EIA
1984,6,late,18,19.96,EIA
1985,6,late,18,104.12,EIA
1986,6,late,18,25.87,EIA
1987,6,late,18,18.02,EIA
1988,6,late,18,7.02,EIA
1989,6,late,18,12.32,EIA
1990,6,late,18,102.54,EIA
1991,6,late,18,8.4,EIA
1992,6,late,18,5.78,EIA
1993,6,late,18,8.36,EIA
1994,6,late,18,5.76,EIA
1995,6,late,18,9.2,EIA
1996,6,late,18,7.3,EIA_Difference
1997,6,late,18,24.05,EIA_Difference
1998,6,late,18,15.87,EIA_Difference
1999,6,late,18,22.45,EIA_Difference
2000,6,late,18,10.96,EIA_Difference
2001,6,late,18,73.28,EIA_Difference
2002,6,late,18,8.61,EIA_Difference
2003,6,late,18,4.81,EIA_Difference
2004,6,late,18,10.92,EIA_Difference
2005,6,late,18,16.53,EIA_Difference
2006,6,late,18,30.14,Current
2007,6,late,18,9.67,Current
2008,6,late,18,11.64,Current
2009,6,late,18,10.3,Current
2010,6,late,18,4.79,Current
2011,6,late,18,13.4,Current
2012,6,late,18,36.55,Current
2013,6,late,18,5.75,Current
2014,6,late,18,11.34,Current
2015,6,late,18,4.51,Current
2016,6,late,18,4.03,Current
2017,6,late,18,7.17,Current
2018,6,late,18,11.49,Current
2019,6,late,18,8.78,Current
1959,7,early,19,8,EIA
1960,7,early,19,8.44,EIA
1961,7,early,19,9.41,EIA
1962,7,early,19,8.49,EIA
1963,7,early,19,21,EIA
1964,7,early,19,8.67,EIA
1965,7,early,19,17.26,EIA
1966,7,early,19,13.3,EIA
1967,7,early,19,8.94,EIA
1968,7,early,19,9.89,EIA
1969,7,early,19,9.01,EIA
1970,7,early,19,9.62,EIA
1971,7,early,19,7.75,EIA
1972,7,early,19,11.84,EIA
1973,7,early,19,19.31,EIA
1974,7,early,19,13.89,EIA
1975,7,early,19,11.58,EIA
1976,7,early,19,59.45,EIA
1977,7,early,19,8.1,EIA
1978,7,early,19,15.9,EIA
1979,7,early,19,8.09,EIA
1980,7,early,19,6.13,EIA
1981,7,early,19,17.7,EIA
1982,7,early,19,10.8,EIA
1983,7,early,19,9.39,EIA
1984,7,early,19,24.37,EIA
1985,7,early,19,46.33,EIA
1986,7,early,19,56.6,EIA
1987,7,early,19,13.92,EIA
1988,7,early,19,5.78,EIA
1989,7,early,19,11.11,EIA
1990,7,early,19,29.82,EIA
1991,7,early,19,5.9,EIA
1992,7,early,19,6.88,EIA
1993,7,early,19,8.08,EIA
1994,7,early,19,42,EIA
1995,7,early,19,11.26,EIA
1996,7,early,19,6.7,EIA_Difference
1997,7,early,19,17.76,EIA_Difference
1998,7,early,19,11.3,EIA_Difference
1999,7,early,19,33,EIA_Difference
2000,7,early,19,22.35,EIA_Difference
2001,7,early,19,58.62,EIA_Difference
2002,7,early,19,15.81,EIA_Difference
2003,7,early,19,4.81,EIA_Difference
2004,7,early,19,100.09,EIA_Difference
2005,7,early,19,12.44,EIA_Difference
2006,7,early,19,39.86,Current
2007,7,early,19,6.25,Current
2008,7,early,19,14.31,Current
2009,7,early,19,5.68,Current
2010,7,early,19,5.03,Current
2011,7,early,19,13.16,Current
2012,7,early,19,20.81,Current
2013,7,early,19,5.06,Current
2014,7,early,19,12.26,Current
2015,7,early,19,12.34,Current
2016,7,early,19,73.51,Current
2017,7,early,19,9.67,Current
2018,7,early,19,9.72,Current
2019,7,early,19,8.19,Current
1959,7,mid,20,7,EIA
1960,7,mid,20,7.11,EIA
1961,7,mid,20,8.16,EIA
1962,7,mid,20,74.37,EIA
1963,7,mid,20,7.09,EIA
1964,7,mid,20,15.26,EIA
1965,7,mid,20,7.65,EIA
1966,7,mid,20,142.07,EIA
1967,7,mid,20,11.9,EIA
1968,7,mid,20,9.04,EIA
1969,7,mid,20,9.06,EIA
1970,7,mid,20,6.93,EIA
1971,7,mid,20,11.58,EIA
1972,7,mid,20,6.97,EIA
1973,7,mid,20,46.18,EIA
1974,7,mid,20,11.83,EIA
1975,7,mid,20,9.58,EIA
1976,7,mid,20,12.34,EIA
1977,7,mid,20,30.32,EIA
1978,7,mid,20,8.33,EIA
1979,7,mid,20,10.68,EIA
1980,7,mid,20,7.46,EIA
1981,7,mid,20,10.35,EIA
1982,7,mid,20,13.76,EIA
1983,7,mid,20,8.41,EIA
1984,7,mid,20,7,EIA
1985,7,mid,20,14.91,EIA
1986,7,mid,20,32.62,EIA
1987,7,mid,20,143.86,EIA
1988,7,mid,20,9.04,EIA
1989,7,mid,20,6.51,EIA
1990,7,mid,20,11.47,EIA
1991,7,mid,20,18.04,EIA
1992,7,mid,20,31.19,EIA
1993,7,mid,20,6.22,EIA
1994,7,mid,20,5.28,EIA
1995,7,mid,20,136.53,EIA
1996,7,mid,20,14.54,EIA_Difference
1997,7,mid,20,6.95,EIA_Difference
1998,7,mid,20,12.59,EIA_Difference
1999,7,mid,20,10.25,EIA_Difference
2000,7,mid,20,15.69,EIA_Difference
2001,7,mid,20,24.91,EIA_Difference
2002,7,mid,20,39.42,EIA_Difference
2003,7,mid,20,27.81,EIA_Difference
2004,7,mid,20,4.12,EIA_Difference
2005,7,mid,20,27.01,EIA_Difference
2006,7,mid,20,28.22,Current
2007,7,mid,20,9.9,Current
2008,7,mid,20,33.3,Current
2009,7,mid,20,21.88,Current
2010,7,mid,20,5.29,Current
2011,7,mid,20,14.95,Current
2012,7,mid,20,14.92,Current
2013,7,mid,20,9.3,Current
2014,7,mid,20,8.28,Current
2015,7,mid,20,7.16,Current
2016,7,mid,20,48.85,Current
2017,7,mid,20,10.97,Current
2018,7,mid,20,20.34,Current
2019,7,mid,20,5.4,Current
1959,7,late,21,6.59,EIA
1960,7,late,21,11.34,EIA
1961,7,late,21,36.42,EIA
1962,7,late,21,65.51,EIA
1963,7,late,21,14.07,EIA
1964,7,late,21,7.42,EIA
1965,7,late,21,114.15,EIA
1966,7,late,21,10.8,EIA
1967,7,late,21,7.12,EIA
1968,7,late,21,154.86,EIA
1969,7,late,21,82.47,EIA
1970,7,late,21,9.25,EIA
1971,7,late,21,106.33,EIA
1972,7,late,21,31.75,EIA
1973,7,late,21,11.29,EIA
1974,7,late,21,11.86,EIA
1975,7,late,21,11.76,EIA
1976,7,late,21,18.97,EIA
1977,7,late,21,42.95,EIA
1978,7,late,21,10.08,EIA
1979,7,late,21,43.65,EIA
1980,7,late,21,5.6,EIA
1981,7,late,21,26.85,EIA
1982,7,late,21,132.99,EIA
1983,7,late,21,8.36,EIA
1984,7,late,21,9.78,EIA
1985,7,late,21,24.63,EIA
1986,7,late,21,20.31,EIA
1987,7,late,21,17.19,EIA
1988,7,late,21,6.82,EIA
1989,7,late,21,13.94,EIA
1990,7,late,21,20.8,EIA
1991,7,late,21,36.69,EIA
1992,7,late,21,5.44,EIA
1993,7,late,21,9.4,EIA
1994,7,late,21,18.87,EIA
1995,7,late,21,68.14,EIA
1996,7,late,21,138.03,EIA_Difference
1997,7,late,21,8.05,EIA_Difference
1998,7,late,21,8.56,EIA_Difference
1999,7,late,21,20.85,EIA_Difference
2000,7,late,21,14.2,EIA_Difference
2001,7,late,21,26.73,EIA_Difference
2002,7,late,21,9.7,EIA_Difference
2003,7,late,21,4.18,EIA_Difference
2004,7,late,21,15.09,EIA_Difference
2005,7,late,21,39.7,EIA_Difference
2006,7,late,21,137.48,Current
2007,7,late,21,7.25,Current
2008,7,late,21,72.04,Current
2009,7,late,21,14.68,Current
2010,7,late,21,6.16,Current
2011,7,late,21,15.37,Current
2012,7,late,21,39.58,Current
2013,7,late,21,5.35,Current
2014,7,late,21,103.9,Current
2015,7,late,21,5.07,Current
2016,7,late,21,15.94,Current
2017,7,late,21,11.82,Current
2018,7,late,21,13.34,Current
2019,7,late,21,6.05,Current
1959,8,early,22,9.49,EIA
1960,8,early,22,20.97,EIA
1961,8,early,22,107.12,EIA
1962,8,early,22,22.36,EIA
1963,8,early,22,10.11,EIA
1964,8,early,22,78.4,EIA
1965,8,early,22,31.56,EIA
1966,8,early,22,9.16,EIA
1967,8,early,22,7.72,EIA
1968,8,early,22,78.93,EIA
1969,8,early,22,39.52,EIA
1970,8,early,22,10.34,EIA
1971,8,early,22,26.85,EIA
1972,8,early,22,43.69,EIA
1973,8,early,22,9.23,EIA
1974,8,early,22,7.41,EIA
1975,8,early,22,19.05,EIA
1976,8,early,22,16.55,EIA
1977,8,early,22,26.11,EIA
1978,8,early,22,38.19,EIA
1979,8,early,22,122.9,EIA
1980,8,early,22,5.47,EIA
1981,8,early,22,15.05,EIA
1982,8,early,22,125.06,EIA
1983,8,early,22,6.65,EIA
1984,8,early,22,7.4,EIA
1985,8,early,22,20.1,EIA
1986,8,early,22,12.1,EIA
1987,8,early,22,11.51,EIA
1988,8,early,22,5.75,EIA
1989,8,early,22,18.04,EIA
1990,8,early,22,27.24,EIA
1991,8,early,22,15.62,EIA
1992,8,early,22,5.17,EIA
1993,8,early,22,7.44,EIA
1994,8,early,22,106.54,EIA
1995,8,early,22,55.41,EIA
1996,8,early,22,51.52,EIA_Difference
1997,8,early,22,20.4,EIA_Difference
1998,8,early,22,49.83,EIA_Difference
1999,8,early,22,34.66,EIA_Difference
2000,8,early,22,14.59,EIA_Difference
2001,8,early,22,28.62,EIA_Difference
2002,8,early,22,26.09,EIA_Difference
2003,8,early,22,60.94,EIA_Difference
2004,8,early,22,12.78,EIA_Difference
2005,8,early,22,16.38,EIA_Difference
2006,8,early,22,63.32,Current
2007,8,early,22,130.17,Current
2008,8,early,22,60.34,Current
2009,8,early,22,25.56,Current
2010,8,early,22,6.26,Current
2011,8,early,22,11.42,Current
2012,8,early,22,59.81,Current
2013,8,early,22,4.08,Current
2014,8,early,22,26.44,Current
2015,8,early,22,10.18,Current
2016,8,early,22,29.1,Current
2017,8,early,22,34.75,Current
2018,8,early,22,11.53,Current
2019,8,early,22,12.71,Current
1959,8,mid,23,8,EIA
1960,8,mid,23,9.37,EIA
1961,8,mid,23,35.86,EIA
1962,8,mid,23,56.33,EIA
1963,8,mid,23,15.5,EIA
1964,8,mid,23,8.13,EIA
1965,8,mid,23,50.56,EIA
1966,8,mid,23,20.86,EIA
1967,8,mid,23,8.14,EIA
1968,8,mid,23,14.89,EIA
1969,8,mid,23,25.92,EIA
1970,8,mid,23,20.4,EIA
1971,8,mid,23,8.52,EIA
1972,8,mid,23,18.33,EIA
1973,8,mid,23,27.34,EIA
1974,8,mid,23,35.53,EIA
1975,8,mid,23,31.02,EIA
1976,8,mid,23,20.29,EIA
1977,8,mid,23,16.76,EIA
1978,8,mid,23,15.36,EIA
1979,8,mid,23,43.71,EIA
1980,8,mid,23,33.03,EIA
1981,8,mid,23,5.12,EIA
1982,8,mid,23,11.15,EIA
1983,8,mid,23,78.96,EIA
1984,8,mid,23,8,EIA
1985,8,mid,23,139.84,EIA
1986,8,mid,23,29.84,EIA
1987,8,mid,23,10.5,EIA
1988,8,mid,23,8.87,EIA
1989,8,mid,23,8.76,EIA
1990,8,mid,23,14.3,EIA
1991,8,mid,23,15.3,EIA
1992,8,mid,23,10.16,EIA
1993,8,mid,23,10.39,EIA
1994,8,mid,23,11.89,EIA
1995,8,mid,23,37.49,EIA
1996,8,mid,23,25.41,EIA_Difference
1997,8,mid,23,18.68,EIA_Difference
1998,8,mid,23,11.32,EIA_Difference
1999,8,mid,23,13.77,EIA_Difference
2000,8,mid,23,28.18,EIA_Difference
2001,8,mid,23,10.74,EIA_Difference
2002,8,mid,23,16.45,EIA_Difference
2003,8,mid,23,17.95,EIA_Difference
2004,8,mid,23,94.1,EIA_Difference
2005,8,mid,23,219.53,EIA_Difference
2006,8,mid,23,37.61,Current
2007,8,mid,23,921.99,Current
2008,8,mid,23,30.13,Current
2009,8,mid,23,33.12,Current
2010,8,mid,23,6.64,Current
2011,8,mid,23,11.3,Current
2012,8,mid,23,29.9,Current
2013,8,mid,23,2.48,Current
2014,8,mid,23,30.75,Current
2015,8,mid,23,10.24,Current
2016,8,mid,23,42.66,Current
2017,8,mid,23,22.51,Current
2018,8,mid,23,13.58,Current
2019,8,mid,23,12.21,Current
1959,8,late,24,37.12,EIA
1960,8,late,24,37.6,EIA
1961,8,late,24,100.09,EIA
1962,8,late,24,67.55,EIA
1963,8,late,24,7.03,EIA
1964,8,late,24,31.15,EIA
1965,8,late,24,18.9,EIA
1966,8,late,24,8.85,EIA
1967,8,late,24,19.98,EIA
1968,8,late,24,45.25,EIA
1969,8,late,24,13.12,EIA
1970,8,late,24,11.8,EIA
1971,8,late,24,13.13,EIA
1972,8,late,24,17.94,EIA
1973,8,late,24,143.13,EIA
1974,8,late,24,22.8,EIA
1975,8,late,24,16.74,EIA
1976,8,late,24,25.34,EIA
1977,8,late,24,30.79,EIA
1978,8,late,24,59.81,EIA
1979,8,late,24,35.46,EIA
1980,8,late,24,5.19,EIA
1981,8,late,24,9.59,EIA
1982,8,late,24,41.86,EIA
1983,8,late,24,14.8,EIA
1984,8,late,24,106.92,EIA
1985,8,late,24,43.62,EIA
1986,8,late,24,28.21,EIA
1987,8,late,24,7.14,EIA
1988,8,late,24,6.24,EIA
1989,8,late,24,16.14,EIA
1990,8,late,24,23.91,EIA
1991,8,late,24,7.62,EIA
1992,8,late,24,56.7,EIA
1993,8,late,24,7.71,EIA
1994,8,late,24,20.15,EIA
1995,8,late,24,64.35,EIA
1996,8,late,24,13.52,EIA_Difference
1997,8,late,24,25.35,EIA_Difference
1998,8,late,24,15.35,EIA_Difference
1999,8,late,24,65.45,EIA_Difference
2000,8,late,24,130.58,EIA_Difference
2001,8,late,24,12,EIA_Difference
2002,8,late,24,8.67,EIA_Difference
2003,8,late,24,100.55,EIA_Difference
2004,8,late,24,14.49,EIA_Difference
2005,8,late,24,96.6,EIA_Difference
2006,8,late,24,21.35,Current
2007,8,late,24,60.6,Current
2008,8,late,24,17.8,Current
2009,8,late,24,17.39,Current
2010,8,late,24,6.91,Current
2011,8,late,24,48.62,Current
2012,8,late,24,85.11,Current
2013,8,late,24,2.12,Current
2014,8,late,24,14.25,Current
2015,8,late,24,17.69,Current
2016,8,late,24,19.44,Current
2017,8,late,24,50.2,Current
2018,8,late,24,32.23,Current
2019,8,late,24,67.16,Current
1959,9,early,25,59.62,EIA
1960,9,early,25,24.03,EIA
1961,9,early,25,34.23,EIA
1962,9,early,25,133.55,EIA
1963,9,early,25,29.98,EIA
1964,9,early,25,21.24,EIA
1965,9,early,25,13.74,EIA
1966,9,early,25,9.87,EIA
1967,9,early,25,17.85,EIA
1968,9,early,25,169.17,EIA
1969,9,early,25,92.43,EIA
1970,9,early,25,25.63,EIA
1971,9,early,25,11.62,EIA
1972,9,early,25,13.49,EIA
1973,9,early,25,36.48,EIA
1974,9,early,25,19.73,EIA
1975,9,early,25,14.55,EIA
1976,9,early,25,18.5,EIA
1977,9,early,25,17.17,EIA
1978,9,early,25,32.75,EIA
1979,9,early,25,30.56,EIA
1980,9,early,25,6.6,EIA
1981,9,early,25,12.03,EIA
1982,9,early,25,20.83,EIA
1983,9,early,25,11.32,EIA
1984,9,early,25,132.98,EIA
1985,9,early,25,85.06,EIA
1986,9,early,25,12.75,EIA
1987,9,early,25,86.45,EIA
1988,9,early,25,5.46,EIA
1989,9,early,25,18.22,EIA
1990,9,early,25,163.28,EIA
1991,9,early,25,11.08,EIA
1992,9,early,25,88.34,EIA
1993,9,early,25,7.68,EIA
1994,9,early,25,10.69,EIA
1995,9,early,25,69.01,EIA
1996,9,early,25,18.31,EIA_Difference
1997,9,early,25,20.87,EIA_Difference
1998,9,early,25,17.49,EIA_Difference
1999,9,early,25,60.47,EIA_Difference
2000,9,early,25,34.02,EIA_Difference
2001,9,early,25,21.38,EIA_Difference
2002,9,early,25,8.84,EIA_Difference
2003,9,early,25,200.13,EIA_Difference
2004,9,early,25,18.45,EIA_Difference
2005,9,early,25,60.59,EIA_Difference
2006,9,early,25,23.85,Current
2007,9,early,25,35.27,Current
2008,9,early,25,17.6,Current
2009,9,early,25,13.52,Current
2010,9,early,25,16.15,Current
2011,9,early,25,52.94,Current
2012,9,early,25,48.79,Current
2013,9,early,25,2.45,Current
2014,9,early,25,9.19,Current
2015,9,early,25,20.1,Current
2016,9,early,25,5.25,Current
2017,9,early,25,29.38,Current
2018,9,early,25,18.7,Current
2019,9,early,25,22.38,Current
1959,9,mid,26,9,EIA
1960,9,mid,26,33.68,EIA
1961,9,mid,26,16.67,EIA
1962,9,mid,26,50.99,EIA
1963,9,mid,26,35.06,EIA
1964,9,mid,26,32.14,EIA
1965,9,mid,26,54.83,EIA
1966,9,mid,26,12.04,EIA
1967,9,mid,26,50.77,EIA
1968,9,mid,26,12.41,EIA
1969,9,mid,26,42.68,EIA
1970,9,mid,26,170.47,EIA
1971,9,mid,26,16.09,EIA
1972,9,mid,26,31.12,EIA
1973,9,mid,26,11.64,EIA
1974,9,mid,26,22.91,EIA
1975,9,mid,26,15.39,EIA
1976,9,mid,26,15.98,EIA
1977,9,mid,26,20.29,EIA
1978,9,mid,26,12.87,EIA
1979,9,mid,26,35.67,EIA
1980,9,mid,26,21.07,EIA
1981,9,mid,26,73.11,EIA
1982,9,mid,26,50.7,EIA
1983,9,mid,26,14.19,EIA
1984,9,mid,26,9,EIA
1985,9,mid,26,56.13,EIA
1986,9,mid,26,96.45,EIA
1987,9,mid,26,74.06,EIA
1988,9,mid,26,105.08,EIA
1989,9,mid,26,5.15,EIA
1990,9,mid,26,153.48,EIA
1991,9,mid,26,50.8,EIA
1992,9,mid,26,18.97,EIA
1993,9,mid,26,39.6,EIA
1994,9,mid,26,48.62,EIA
1995,9,mid,26,19.24,EIA
1996,9,mid,26,27.54,EIA_Difference
1997,9,mid,26,17.06,EIA_Difference
1998,9,mid,26,18.24,EIA_Difference
1999,9,mid,26,12.78,EIA_Difference
2000,9,mid,26,21.41,EIA_Difference
2001,9,mid,26,20.95,EIA_Difference
2002,9,mid,26,40.58,EIA_Difference
2003,9,mid,26,14.59,EIA_Difference
2004,9,mid,26,32.36,EIA_Difference
2005,9,mid,26,21.17,EIA_Difference
