year,month,period,tendays,Q_cms,era
2016,1,late,3,18.6,Current
2017,1,late,3,8.47,Current
2018,1,late,3,13.12,Current
2019,1,late,3,5.93,Current
1959,2,early,4,7.84,EIA
1960,2,early,4,11.36,EIA
1961,2,early,4,6.52,EIA
1962,2,early,4,9.75,EIA
1963,2,early,4,6.25,EIA
1964,2,early,4,12.34,EIA
1965,2,early,4,9.36,EIA
1966,2,early,4,6.06,EIA
1967,2,early,4,8.91,EIA
1968,2,early,4,12.43,EIA
1969,2,early,4,7.27,EIA
1970,2,early,4,10.41,EIA
1971,2,early,4,13.1,EIA
1972,2,early,4,11.4,EIA
1973,2,early,4,7.78,EIA
1974,2,early,4,8.65,EIA
1975,2,early,4,14.68,EIA
1976,2,early,4,11.7,EIA
1977,2,early,4,10.51,EIA
1978,2,early,4,17.1,EIA
1979,2,early,4,9.96,EIA
1980,2,early,4,8.38,EIA
1981,2,early,4,9.3,EIA
1982,2,early,4,8.93,EIA
1983,2,early,4,9.59,EIA
1984,2,early,4,6.65,EIA
1985,2,early,4,8.96,EIA
1986,2,early,4,8.04,EIA
1987,2,early,4,8,EIA
1988,2,early,4,11.57,EIA
1989,2,early,4,5.86,EIA
1990,2,early,4,11.24,EIA
1991,2,early,4,7.98,EIA
1992,2,early,4,6.53,EIA
1993,2,early,4,6.24,EIA
1994,2,early,4,7.04,EIA
1995,2,early,4,8.16,EIA
1996,2,early,4,6.75,EIA_Difference
1997,2,early,4,19.15,EIA_Difference
1998,2,early,4,10.12,EIA_Difference
1999,2,early,4,9.97,EIA_Difference
2000,2,early,4,8.43,EIA_Difference
2001,2,early,4,11.84,EIA_Difference
2002,2,early,4,6.4,EIA_Difference
2003,2,early,4,8.12,EIA_Difference
2004,2,early,4,12.61,EIA_Difference
2005,2,early,4,11.17,EIA_Difference
2006,2,early,4,10.78,Current
2007,2,early,4,7.71,Current
2008,2,early,4,12.63,Current
2009,2,early,4,5.71,Current
2010,2,early,4,7.51,Current
2011,2,early,4,8.15,Current
2012,2,early,4,12.63,Current
2013,2,early,4,3.88,Current
2014,2,early,4,9.99,Current
2015,2,early,4,9.16,Current
2016,2,early,4,25.59,Current
2017,2,early,4,8.53,Current
2018,2,early,4,14.68,Current
2019,2,early,4,5.98,Current
1959,2,mid,5,2,EIA
1960,2,mid,5,7.23,EIA
1961,2,mid,5,10.89,EIA
1962,2,mid,5,6.04,EIA
1963,2,mid,5,7.6,EIA
1964,2,mid,5,6.46,EIA
1965,2,mid,5,7.93,EIA
1966,2,mid,5,7.98,EIA
1967,2,mid,5,6.16,EIA
1968,2,mid,5,7.28,EIA
1969,2,mid,5,15.96,EIA
1970,2,mid,5,6.03,EIA
1971,2,mid,5,9.89,EIA
1972,2,mid,5,12.1,EIA
1973,2,mid,5,10.68,EIA
1974,2,mid,5,8.05,EIA
1975,2,mid,5,7.58,EIA
1976,2,mid,5,13.59,EIA
1977,2,mid,5,9.7,EIA
1978,2,mid,5,9.48,EIA
1979,2,mid,5,14.36,EIA
1980,2,mid,5,7.78,EIA
1981,2,mid,5,8.67,EIA
1982,2,mid,5,8.33,EIA
1983,2,mid,5,8.7,EIA
1984,2,mid,5,2,EIA
1985,2,mid,5,7.03,EIA
1986,2,mid,5,19.95,EIA
1987,2,mid,5,8.7,EIA
1988,2,mid,5,7.04,EIA
1989,2,mid,5,8.65,EIA
1990,2,mid,5,5.97,EIA
1991,2,mid,5,6.76,EIA
1992,2,mid,5,7.79,EIA
1993,2,mid,5,20.77,EIA
1994,2,mid,5,5.44,EIA
1995,2,mid,5,9.01,EIA
1996,2,mid,5,9.44,EIA_Difference
1997,2,mid,5,5.75,EIA_Difference
1998,2,mid,5,18.12,EIA_Difference
1999,2,mid,5,8.64,EIA_Difference
2000,2,mid,5,8.22,EIA_Difference
2001,2,mid,5,6.82,EIA_Difference
2002,2,mid,5,12.24,EIA_Difference
2003,2,mid,5,6.77,EIA_Difference
2004,2,mid,5,5.92,EIA_Difference
2005,2,mid,5,11.19,EIA_Difference
2006,2,mid,5,8.3,Current
